127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000707
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001177
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000843
127.0.0.1, 2014-06-24 15:17:30, GET, /basic_rest/static/js/share.js, HTTP/1.1, 200, 0.000438
127.0.0.1, 2014-06-24 15:17:31, GET, /basic_rest/static/images/twitter.png, HTTP/1.1, 200, 0.000770
127.0.0.1, 2014-06-24 15:17:31, GET, /basic_rest/static/images/facebook.png, HTTP/1.1, 200, 0.000393
127.0.0.1, 2014-06-24 15:17:31, GET, /basic_rest/static/images/gplus-32.png, HTTP/1.1, 200, 0.001019
127.0.0.1, 2014-06-24 15:17:31, GET, /basic_rest/static/images/favicon.ico, HTTP/1.1, 200, 0.000267
127.0.0.1, 2014-06-24 15:17:45, POST, /basic_rest/default/user/register, HTTP/1.1, 303, 0.216419
127.0.0.1, 2014-06-24 15:17:45, GET, /basic_rest/default/index, HTTP/1.1, 200, 0.014228
127.0.0.1, 2014-06-24 15:17:45, GET, /basic_rest/static/js/share.js, HTTP/1.1, 304, 0.000227
127.0.0.1, 2014-06-24 15:20:20, POST, /basic_rest/default/api/fam.json, HTTP/1.1, 303, 0.017927
127.0.0.1, 2014-06-24 15:20:20, GET, /basic_rest/default/user/login, HTTP/1.1, 200, 0.013173
127.0.0.1, 2014-06-24 15:21:02, POST, /basic_rest/default/api/fam.json, HTTP/1.1, 303, 0.011973
127.0.0.1, 2014-06-24 15:21:02, GET, /basic_rest/default/user/login, HTTP/1.1, 200, 0.016830
127.0.0.1, 2014-06-24 15:21:24, POST, /basic_rest/default/api/fam.json, HTTP/1.1, 303, 0.012119
127.0.0.1, 2014-06-24 15:21:24, GET, /basic_rest/default/user/login, HTTP/1.1, 200, 0.015445
127.0.0.1, 2014-06-24 15:21:55, GET, /basic_rest/default/index, HTTP/1.1, 200, 0.015435
127.0.0.1, 2014-06-24 15:21:55, GET, /basic_rest/static/js/share.js, HTTP/1.1, 304, 0.000228
127.0.0.1, 2014-06-24 15:21:57, GET, /basic_rest/default/index, HTTP/1.1, 200, 0.017794
127.0.0.1, 2014-06-24 15:21:57, GET, /basic_rest/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2014-06-24 15:22:05, GET, /basic_rest/default/index, HTTP/1.1, 200, 0.015680
127.0.0.1, 2014-06-24 15:22:15, GET, /admin/default/edit/basic_rest/controllers/default.py, HTTP/1.1, 200, 0.029236
127.0.0.1, 2014-06-24 15:22:15, GET, /admin/default/edit/basic_rest/controllers/default.py, HTTP/1.1, 200, 0.032109
127.0.0.1, 2014-06-24 15:22:15, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000465
127.0.0.1, 2014-06-24 15:22:15, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001192
127.0.0.1, 2014-06-24 15:22:15, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000668
